source,target,value
Probit model,Multivariate probit,0.913252179952
Probit model,Nicholson Bailey model,0.913252179952
Probit model,Nonparametric regression,0.906422680623
Probit model,Deming regression,0.903921255313
Probit model,Structural estimation,0.926464083875
Algorithms for calculating variance,Guesstimate,0.950843800699
Algorithms for calculating variance,Consensus-based assessment,0.903536680597
Algorithms for calculating variance,Spaghetti plot,0.915065124312
Algorithms for calculating variance,Crime statistics,0.926430215451
Algorithms for calculating variance,Meta-analysis,0.905081391099
GAUSS (software),Fast Kalman filter,0.920809014012
Continuity correction,Differential entropy,0.905976101572
Continuity correction,Probability-generating function,0.92186355011
Continuity correction,Discrete probability distribution,0.905815263424
Continuity correction,Continuous probability distribution,0.907740899687
Continuity correction,Discrete distribution,0.907740899687
Continuity correction,U-quadratic distribution,0.907740899687
Continuity correction,Normal-gamma distribution,0.908584041474
Continuity correction,Probability distribution,0.907264911905
Continuity correction,Normal-scaled inverse gamma distribution,0.907740899687
Continuity correction,Bimodal distribution,0.905365713997
Continuity correction,Cantor distribution,0.946938194177
Continuity correction,Skew normal distribution,0.937487692078
Continuity correction,Infinite divisibility (probability),0.914937964273
Continuity correction,Probability mass function,0.901078577483
Continuity correction,Circular uniform distribution,0.906435225103
Continuity correction,Reciprocal distribution,0.913377159531
Continuity correction,Van Houtum distribution,0.929662471621
Continuity correction,Gauss Kuzmin distribution,0.922681857726
Continuity correction,L vy distribution,0.90674962666
Statistical relational learning,Econometrics,0.944213233901
Statistical relational learning,System identification,0.92970488567
Statistical relational learning,LaplacesDemon,0.956428250859
Statistical relational learning,Statistical signal processing,0.928754025325
Statistical relational learning,Bayesian inference in marketing,0.91230652023
Statistical relational learning,Algorithmic inference,0.90109546155
Statistical relational learning,Statistical epidemiology,0.904449786965
Statistical relational learning,History of statistics,0.914884606794
Statistical relational learning,Statistical Lab,0.917747368935
Statistical relational learning,Neural network,0.916867490681
Statistical relational learning,Pedometric mapping,0.952655272624
Statistical relational learning,Abductive reasoning,0.932067836011
Statistical relational learning,Bioinformatics,0.921895865205
Statistical relational learning,Machine learning,0.917265218037
Statistical relational learning,Computational statistics,0.915456348645
Statistical relational learning,Barab si Albert model,0.952375526702
Statistical relational learning,Mathematical biology,0.908646404732
Statistical relational learning,Probabilistic relational model,0.953705510297
Statistical relational learning,Stochastic grammar,1.0
Statistical relational learning,OpenBUGS,0.977217108197
Statistical relational learning,Inference,0.925111565621
Statistical relational learning,Artificial neural network,0.929946197437
Statistical relational learning,Operations research,0.952655272624
Statistical relational learning,BA model,0.91614079654
Statistical relational learning,List of fields of application of statistics,0.908646404732
Statistical relational learning,Bayesian brain,0.926459840636
Statistical relational learning,Conditional random field,0.964436161177
Statistical relational learning,WinBUGS,0.955967203817
Statistical relational learning,Chemometrics,0.915251208792
Statistical relational learning,Statistical finance,0.927825255717
Statistical relational learning,Bayesian inference using Gibbs sampling,0.924051977812
Statistical relational learning,Actuarial science,0.947248475495
Statistical relational learning,MLwiN,0.919098405928
Probability distribution function,Rayleigh mixture distribution,0.938995245911
Probability distribution function,Inverse Mills ratio,0.945300871274
Probability distribution function,Bingham distribution,0.905498866475
Probability distribution function,Probability density function,0.913470014463
Probability distribution function,Zipf Mandelbrot law,0.921753614053
Probability distribution function,Kumaraswamy distribution,0.92317933378
Probability distribution function,Cumulative distribution function,0.924506741533
Probability distribution function,Yule Simon distribution,0.906819990951
Probability distribution function,Cantor distribution,0.907698732249
Probability distribution function,Logit,0.937181906881
Probability distribution function,Empirical distribution function,0.904026687804
Probability distribution function,Generalised hyperbolic distribution,0.922283326304
Probability distribution function,Location parameter,0.903594024567
Probability distribution function,Holtsmark distribution,0.936648098079
Probability distribution function,Hyperbolic secant distribution,0.916796322119
Probability distribution function,Characteristic function (probability theory),0.941620450403
Numerical data,Financial econometrics,0.910507911282
Numerical data,Guesstimate,0.906124577286
Numerical data,Baseball statistics,0.920442075497
Numerical data,Bayesian spam filtering,0.927225186591
Numerical data,Level of measurement,0.931149420413
Numerical data,History of randomness,1.0
Numerical data,Paired comparison analysis,0.923722995889
Numerical data,Pairwise comparison,0.907358649618
Statistical inference,Inferential statistics,0.907358649618
Statistical inference,Resampling (statistics),1.0
Statistical inference,Randomization test,0.900709603314
Statistical inference,Permutation test,0.900709603314
Pocock boundary,Cohort study,0.900709603314
Pocock boundary,Restricted randomization,0.924272352273
Pocock boundary,N of 1 trial,0.961238232834
Pocock boundary,Open-label trial,0.958365022042
Pocock boundary,Crossover study,0.980722526049
Pocock boundary,Placebo-controlled study,0.957489397278
Pocock boundary,Randomized controlled trial,0.961065702183
Pocock boundary,Design of quasi-experiments,0.963825273632
Pocock boundary,Therapeutic effect,0.913948878228
Pocock boundary,Cluster randomised controlled trial,0.906345283278
Pocock boundary,Natural experiment,0.94008970187
Pocock boundary,End point of clinical trials,0.9093291726
Pocock boundary,Random assignment,0.971614571391
Pocock boundary,Clinical trial,0.944385168512
Pocock boundary,Clinical significance,0.952779739963
Pocock boundary,Ethical problems using children in clinical trials,0.928588504273
Pocock boundary,Quasi-experiment,0.95059452696
Pocock boundary,First-in-man study,0.913948878228
Pocock boundary,Case-control study,0.947321422507
Pocock boundary,Zelen's design,0.923222268943
Pocock boundary,Haybittle Peto boundary,0.947428682868
Pocock boundary,Case-control,0.926746124771
Self-similarity matrix,Projection pursuit,0.923222268943
Self-similarity matrix,Smoothing,0.913968903368
Self-similarity matrix,Run chart,0.915080735595
Self-similarity matrix,Wavelet,0.916608179195
Self-similarity matrix,Exponential smoothing,0.913823904402
Rayleigh mixture distribution,Hyperbolic distribution,0.914103442606
Rayleigh mixture distribution,Inverse distribution,0.947897867708
Rayleigh mixture distribution,Exponential-logarithmic distribution,0.920383135947
Rayleigh mixture distribution,Divergence (statistics),0.94861101521
Rayleigh mixture distribution,Discrete probability distribution,0.912724657902
Rayleigh mixture distribution,Continuous probability distribution,0.943722277283
Rayleigh mixture distribution,Extended negative binomial distribution,0.943722277283
Rayleigh mixture distribution,Wrapped exponential distribution,0.908375171728
Rayleigh mixture distribution,Discrete distribution,0.92393896964
Rayleigh mixture distribution,Degenerate distribution,0.943722277283
Rayleigh mixture distribution,Inverse Mills ratio,0.919918228589
Rayleigh mixture distribution,Conway Maxwell Poisson distribution,0.902194216111
Rayleigh mixture distribution,Inverse-chi-squared distribution,0.929214294003
Rayleigh mixture distribution,Normal-gamma distribution,0.914694972062
Rayleigh mixture distribution,Rank-size distribution,0.93903746567
Rayleigh mixture distribution,Tukey's lambda distribution,0.900880814063
Rayleigh mixture distribution,Beta-binomial distribution,0.909009429448
Rayleigh mixture distribution,Tukey lambda distribution,0.918405478305
Rayleigh mixture distribution,Inverse-gamma distribution,0.909009429448
Rayleigh mixture distribution,Wrapped L vy distribution,0.916149845485
Rayleigh mixture distribution,Normal-exponential-gamma distribution,0.901068434728
Rayleigh mixture distribution,Elliptical distribution,0.939744037629
Rayleigh mixture distribution,Asymptotic normality,0.917528925044
Rayleigh mixture distribution,Normal variance-mean mixture,0.908762532385
Rayleigh mixture distribution,Smoothness (probability theory),0.91992624946
Rayleigh mixture distribution,Probability density function,0.923909133559
Rayleigh mixture distribution,Beta prime distribution,0.921054781096
Rayleigh mixture distribution,Zipf Mandelbrot law,0.907186008713
Rayleigh mixture distribution,Probability distribution,0.936640412099
Rayleigh mixture distribution,L vy flight,0.943722277283
Rayleigh mixture distribution,Kumaraswamy distribution,0.90254266654
Rayleigh mixture distribution,Dirichlet-multinomial distribution,0.974615949446
Rayleigh mixture distribution,Normal-scaled inverse gamma distribution,0.92093331125
Rayleigh mixture distribution,Bimodal distribution,0.928861110207
Rayleigh mixture distribution,Cumulative distribution function,0.938252640193
Rayleigh mixture distribution,Yule Simon distribution,0.924852581202
Rayleigh mixture distribution,Generalized Dirichlet distribution,0.945996531349
Rayleigh mixture distribution,Dirichlet distribution,0.90079825854
Rayleigh mixture distribution,Sichel distribution,0.902929701297
Rayleigh mixture distribution,Beta distribution,0.911080892666
Rayleigh mixture distribution,Nakagami distribution,0.931987919727
Rayleigh mixture distribution,Cantor distribution,0.919499726801
Rayleigh mixture distribution,Skew normal distribution,0.94571493016
Rayleigh mixture distribution,Gaussian q-distribution,0.917849790324
Rayleigh mixture distribution,Raised cosine distribution,0.908591752536
Rayleigh mixture distribution,Multivariate P lya distribution,0.918801912763
Rayleigh mixture distribution,Log-logistic distribution,0.92093331125
Rayleigh mixture distribution,Infinite divisibility (probability),0.912674912452
Rayleigh mixture distribution,Location-scale family,0.910209785641
Rayleigh mixture distribution,Empirical distribution function,0.948773212695
Rayleigh mixture distribution,Conjugate prior,0.92663284061
Rayleigh mixture distribution,Circular uniform distribution,0.9159659998
Rayleigh mixture distribution,Reciprocal distribution,0.924626668192
Rayleigh mixture distribution,Kirkwood approximation,0.925301266512
Rayleigh mixture distribution,Asymptotic distribution,0.92885286269
Rayleigh mixture distribution,Van Houtum distribution,0.908762532385
